Product Name,Avg_LeadTime,Std_LeadTime,Avg_Distance,Avg_ProfitPct,Avg_Sales,Avg_GrossProfit,Avg_Units,Total_Orders,Product_Cluster,Product_Label
Everlasting Gobstopper,737.0,,375.08,80.0,30.0,24.0,3.0,1,1,Low Performer
Fizzy Lifting Drinks,369.5,326.69,1692.96,60.0,13.12,7.88,3.5,6,0,High Performer
Fun Dip,368.67,2.08,1656.48,40.0,4.0,1.6,2.67,3,0,High Performer
Hair Toffee,551.25,209.88,1765.93,77.78,19.12,14.88,4.25,4,1,Low Performer
Kazookles,364.36,263.44,1525.63,7.69,10.2,0.78,3.14,80,0,High Performer
Laffy Taffy,479.1,246.56,1981.32,62.31,5.37,3.35,2.7,10,0,High Performer
Lickable Wallpaper,551.75,212.18,1076.57,50.0,20.0,10.0,1.0,4,1,Low Performer
Nerds,370.0,422.04,2093.07,46.67,3.75,1.75,2.5,4,0,High Performer
SweeTARTS,479.5,246.69,1595.05,46.67,6.15,2.87,4.1,10,0,High Performer
Wonka Bar - Fudge Mallows,410.39,264.2,1943.27,66.67,13.29,8.86,3.69,1794,0,High Performer
Wonka Bar - Milk Chocolate,413.01,263.12,1749.84,64.92,12.18,7.91,3.75,2108,0,High Performer
Wonka Bar - Nutty Crunch Surprise,424.97,260.53,1898.91,71.35,12.76,9.11,3.66,1795,0,High Performer
Wonka Bar - Triple Dazzle Caramel,421.58,260.61,1823.92,65.33,13.84,9.04,3.69,1997,0,High Performer
Wonka Bar -Scrumdiddlyumptious,416.97,260.13,1926.85,69.44,13.17,9.14,3.66,2042,0,High Performer
Wonka Gum,406.8,290.71,1373.64,52.0,4.67,2.43,3.73,116,0,High Performer
